FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
243	3922.6500000000	2.4800000000	-4.9200000000	33.5000000000	-208.0000000000	-3.3000000000	601.0000000000	171.1000000000	2017-198	19:07:13.284
244	3923.2800000000	1.5300000000	-4.3600000000	33.5000000000	-205.6000000000	1.2000000000	601.2000000000	173.2000000000	2017-198	19:07:13.892
245	3923.9100000000	2.0400000000	-4.1100000000	33.5000000000	-205.0000000000	-6.6000000000	601.2000000000	174.2000000000	2017-198	19:07:14.500
246	3924.5500000000	4.1000000000	-4.6200000000	33.5000000000	-206.4000000000	-11.3000000000	601.5000000000	168.0000000000	2017-198	19:07:15.140
247	3925.1800000000	2.8300000000	-4.6600000000	33.5000000000	-206.4000000000	-3.3000000000	601.0000000000	169.9000000000	2017-198	19:07:15.764
248	3925.8100000000	1.9800000000	-3.9800000000	33.5000000000	-204.8000000000	0.3000000000	601.0000000000	172.1000000000	2017-198	19:07:16.497
249	3926.4400000000	3.4900000000	-4.5300000000	33.5000000000	-206.2000000000	-8.9000000000	601.2000000000	169.5000000000	2017-198	19:07:17.106
250	3927.0700000000	3.9700000000	-4.6600000000	33.5000000000	-205.2000000000	-8.4000000000	601.0000000000	167.4000000000	2017-198	19:07:17.730
251	3927.7000000000	1.8300000000	-3.7800000000	33.5000000000	-203.6000000000	1.2000000000	601.5000000000	172.3000000000	2017-198	19:07:18.291
252	3928.3300000000	2.4600000000	-4.2600000000	33.5000000000	-206.4000000000	-1.2000000000	601.5000000000	170.8000000000	2017-198	19:07:18.931
253	3928.9700000000	3.9500000000	-4.9300000000	33.5000000000	-207.2000000000	-7.1000000000	601.2000000000	166.9000000000	2017-198	19:07:19.555
254	3929.6000000000	2.5600000000	-4.1900000000	33.5000000000	-202.8000000000	1.2000000000	601.2000000000	169.4000000000	2017-198	19:07:20.194
255	3930.2300000000	1.7800000000	-3.9700000000	33.5000000000	-204.4000000000	5.0000000000	601.5000000000	171.1000000000	2017-198	19:07:20.912
0	3930.8600000000	3.8800000000	-5.1800000000	33.6000000000	-208.2000000000	-5.3000000000	601.6000000000	166.4000000000	2017-198	19:07:21.474
1	3931.4900000000	4.2700000000	-4.4400000000	33.5000000000	-204.0000000000	-4.4000000000	601.5000000000	165.0000000000	2017-198	19:07:22.082
2	3932.1200000000	1.3300000000	-3.7500000000	33.5000000000	-201.8000000000	7.5000000000	601.2000000000	171.9000000000	2017-198	19:07:22.722
3	3932.7600000000	2.9400000000	-4.6300000000	33.5000000000	-206.4000000000	3.0000000000	601.5000000000	167.3000000000	2017-198	19:07:23.346
4	3933.3800000000	4.5100000000	-5.0300000000	33.5000000000	-206.8000000000	-4.6000000000	601.5000000000	163.9000000000	2017-198	19:07:24.001
5	3934.0100000000	1.9500000000	-4.1400000000	33.5000000000	-201.8000000000	4.8000000000	601.5000000000	170.3000000000	2017-198	19:07:24.609
