FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
3	5402.9200000000	1.7400000000	-1.9100000000	34.5000000000	-186.9000000000	-62.2000000000	602.6000000000	194.1000000000	2017-198	19:31:53.504
4	5403.5600000000	1.6500000000	-2.0100000000	34.5000000000	-186.5000000000	-61.3000000000	602.9000000000	194.3000000000	2017-198	19:31:54.159
5	5404.2000000000	1.9200000000	-1.8400000000	34.5000000000	-187.1000000000	-62.0000000000	602.6000000000	193.4000000000	2017-198	19:31:54.783
6	5404.8300000000	1.6600000000	-2.0100000000	34.5000000000	-187.1000000000	-61.6000000000	602.9000000000	194.3000000000	2017-198	19:31:55.423
7	5405.4700000000	1.8400000000	-1.8900000000	34.5000000000	-187.1000000000	-61.6000000000	602.6000000000	193.5000000000	2017-198	19:31:56.047
8	5406.1000000000	1.8200000000	-2.0700000000	34.5000000000	-187.5000000000	-61.1000000000	602.9000000000	193.6000000000	2017-198	19:31:56.687
9	5406.7400000000	1.7600000000	-2.0800000000	34.5000000000	-187.3000000000	-61.3000000000	602.6000000000	193.9000000000	2017-198	19:31:57.326
10	5407.3800000000	1.9800000000	-1.9300000000	34.5000000000	-187.3000000000	-61.6000000000	602.9000000000	193.1000000000	2017-198	19:31:57.981
11	5408.0200000000	1.5400000000	-2.0300000000	34.5000000000	-187.7000000000	-60.0000000000	602.6000000000	194.1000000000	2017-198	19:31:58.590
12	5408.6500000000	1.6500000000	-2.0200000000	34.5000000000	-187.5000000000	-60.7000000000	602.9000000000	194.0000000000	2017-198	19:31:59.292
13	5409.2900000000	1.9200000000	-1.7600000000	34.5000000000	-187.1000000000	-61.1000000000	602.9000000000	193.0000000000	2017-198	19:31:59.869
14	5409.9200000000	1.7800000000	-2.1600000000	34.5000000000	-186.9000000000	-59.3000000000	602.9000000000	193.3000000000	2017-198	19:32:00.587
15	5410.5600000000	1.6100000000	-1.8600000000	34.5000000000	-187.5000000000	-59.1000000000	602.6000000000	193.5000000000	2017-198	19:32:01.148
16	5411.2000000000	2.2300000000	-1.9200000000	34.5000000000	-187.3000000000	-61.6000000000	602.4000000000	192.2000000000	2017-198	19:32:01.772
17	5411.8300000000	1.5800000000	-2.0100000000	34.5000000000	-187.3000000000	-59.1000000000	602.9000000000	193.7000000000	2017-198	19:32:02.459
18	5412.4600000000	1.5000000000	-2.1700000000	34.5000000000	-188.1000000000	-58.6000000000	602.6000000000	193.9000000000	2017-198	19:32:03.083
19	5413.1000000000	1.9500000000	-1.8900000000	34.5000000000	-186.9000000000	-60.9000000000	602.6000000000	193.0000000000	2017-198	19:32:03.707
20	5413.7400000000	1.9300000000	-1.9700000000	34.5000000000	-187.3000000000	-59.1000000000	602.6000000000	192.5000000000	2017-198	19:32:04.315
21	5414.3800000000	1.5000000000	-2.1000000000	34.5000000000	-188.5000000000	-57.3000000000	602.9000000000	193.4000000000	2017-198	19:32:04.955
22	5415.0100000000	1.9800000000	-1.8600000000	34.5000000000	-187.3000000000	-58.9000000000	602.6000000000	192.1000000000	2017-198	19:32:05.625
23	5415.6500000000	1.9300000000	-1.9200000000	34.5000000000	-187.7000000000	-58.4000000000	602.9000000000	192.2000000000	2017-198	19:32:06.234
24	5416.2900000000	1.6200000000	-2.0800000000	34.5000000000	-188.7000000000	-56.2000000000	602.4000000000	192.6000000000	2017-198	19:32:06.858
25	5416.9200000000	1.8300000000	-1.7100000000	34.5000000000	-187.7000000000	-57.7000000000	602.9000000000	192.2000000000	2017-198	19:32:07.529
26	5417.5600000000	1.9100000000	-1.7700000000	34.5000000000	-187.1000000000	-58.2000000000	602.6000000000	192.1000000000	2017-198	19:32:08.153
27	5418.2000000000	1.7100000000	-1.8900000000	34.4000000000	-187.6000000000	-56.4000000000	602.5000000000	192.3000000000	2017-198	19:32:08.777
28	5418.8300000000	1.7200000000	-1.9700000000	34.5000000000	-188.3000000000	-55.9000000000	602.6000000000	192.1000000000	2017-198	19:32:09.432
29	5419.4700000000	2.0700000000	-1.7700000000	34.5000000000	-187.7000000000	-57.7000000000	602.6000000000	191.4000000000	2017-198	19:32:10.056
30	5420.1100000000	1.8800000000	-1.7800000000	34.5000000000	-187.7000000000	-55.9000000000	602.6000000000	191.5000000000	2017-198	19:32:10.727
31	5420.7500000000	1.4700000000	-2.3300000000	34.5000000000	-188.5000000000	-55.0000000000	602.6000000000	193.0000000000	2017-198	19:32:11.351
32	5421.3800000000	2.1700000000	-1.6400000000	34.5000000000	-187.3000000000	-57.5000000000	602.4000000000	190.9000000000	2017-198	19:32:11.975
33	5422.0200000000	1.9200000000	-1.9600000000	34.4000000000	-187.8000000000	-55.9000000000	602.5000000000	191.4000000000	2017-198	19:32:12.599
34	5422.6600000000	1.6600000000	-2.1100000000	34.5000000000	-188.9000000000	-54.8000000000	602.9000000000	192.0000000000	2017-198	19:32:13.238
35	5423.2900000000	2.0600000000	-1.7400000000	34.5000000000	-187.3000000000	-57.7000000000	602.6000000000	191.4000000000	2017-198	19:32:13.878
36	5423.9300000000	1.6900000000	-1.7800000000	34.5000000000	-187.7000000000	-56.8000000000	602.6000000000	192.4000000000	2017-198	19:32:14.533
37	5424.5700000000	1.4100000000	-2.3000000000	34.5000000000	-188.3000000000	-55.5000000000	602.4000000000	193.3000000000	2017-198	19:32:15.141
38	5425.2000000000	1.9100000000	-1.7700000000	34.4000000000	-186.4000000000	-58.2000000000	602.7000000000	192.2000000000	2017-198	19:32:15.781
39	5425.8400000000	2.0100000000	-1.8300000000	34.5000000000	-187.5000000000	-57.1000000000	602.6000000000	191.4000000000	2017-198	19:32:16.421
40	5426.4700000000	1.5400000000	-2.0300000000	34.5000000000	-187.9000000000	-55.5000000000	602.9000000000	192.6000000000	2017-198	19:32:17.060
41	5427.1100000000	1.8000000000	-1.8700000000	34.5000000000	-187.9000000000	-57.5000000000	602.6000000000	192.3000000000	2017-198	19:32:17.700
42	5427.7500000000	2.0900000000	-1.8600000000	34.5000000000	-187.5000000000	-58.4000000000	602.9000000000	191.6000000000	2017-198	19:32:18.324
43	5428.3800000000	1.7400000000	-1.7700000000	34.5000000000	-187.5000000000	-57.1000000000	602.4000000000	192.3000000000	2017-198	19:32:19.041
44	5429.0200000000	1.5000000000	-1.9800000000	34.5000000000	-187.3000000000	-58.2000000000	602.9000000000	193.7000000000	2017-198	19:32:19.603
45	5429.6500000000	1.9100000000	-1.9100000000	34.5000000000	-187.3000000000	-60.0000000000	602.6000000000	192.8000000000	2017-198	19:32:20.321
46	5430.2900000000	1.8300000000	-1.8700000000	34.5000000000	-186.7000000000	-58.6000000000	602.6000000000	192.6000000000	2017-198	19:32:20.867
47	5430.9300000000	1.6900000000	-2.0100000000	34.5000000000	-187.9000000000	-58.0000000000	602.9000000000	192.9000000000	2017-198	19:32:21.506
48	5431.5600000000	1.8500000000	-1.9100000000	34.4000000000	-187.4000000000	-59.3000000000	602.5000000000	192.8000000000	2017-198	19:32:22.239
49	5432.2000000000	1.8200000000	-1.5600000000	34.5000000000	-186.5000000000	-59.3000000000	602.9000000000	192.7000000000	2017-198	19:32:22.817
50	5432.8400000000	1.6300000000	-1.9400000000	34.5000000000	-187.1000000000	-58.6000000000	602.4000000000	193.3000000000	2017-198	19:32:23.409
51	5433.4800000000	1.7900000000	-1.6600000000	34.5000000000	-186.9000000000	-59.8000000000	602.6000000000	193.0000000000	2017-198	19:32:24.065
52	5434.1100000000	1.8400000000	-1.9900000000	34.5000000000	-187.3000000000	-59.3000000000	602.6000000000	192.9000000000	2017-198	19:32:24.704
53	5434.7500000000	1.7100000000	-2.0600000000	34.5000000000	-186.9000000000	-59.5000000000	602.4000000000	193.5000000000	2017-198	19:32:25.328
54	5435.3900000000	1.8400000000	-1.9300000000	34.5000000000	-186.7000000000	-60.4000000000	602.9000000000	193.2000000000	2017-198	19:32:25.968
55	5436.0200000000	1.8900000000	-1.9700000000	34.5000000000	-186.9000000000	-60.4000000000	602.6000000000	193.1000000000	2017-198	19:32:26.607
56	5436.6600000000	1.7200000000	-1.8600000000	34.5000000000	-186.7000000000	-59.8000000000	602.6000000000	193.4000000000	2017-198	19:32:27.231
