FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
133	743.0400000000	4.1600000000	1.1200000000	30.9000000000	-133.8000000000	-166.5000000000	598.0000000000	219.7000000000	2017-198	18:14:13.754
134	743.6800000000	4.1100000000	1.7000000000	30.9000000000	-134.2000000000	-165.8000000000	598.0000000000	218.4000000000	2017-198	18:14:14.347
135	744.3200000000	5.1600000000	2.6900000000	30.9000000000	-129.3000000000	-171.2000000000	597.7000000000	216.0000000000	2017-198	18:14:14.940
136	744.9600000000	4.7200000000	2.1800000000	30.9000000000	-131.6000000000	-168.0000000000	597.7000000000	217.0000000000	2017-198	18:14:15.580
137	745.6000000000	4.2600000000	1.5700000000	30.9000000000	-133.6000000000	-166.0000000000	597.7000000000	218.4000000000	2017-198	18:14:16.219
138	746.2400000000	4.7700000000	1.7600000000	30.9000000000	-131.6000000000	-168.7000000000	598.2000000000	217.8000000000	2017-198	18:14:16.859
139	746.8800000000	4.6100000000	1.9700000000	30.9000000000	-131.6000000000	-169.2000000000	598.2000000000	217.9000000000	2017-198	18:14:17.561
140	747.5200000000	4.3900000000	0.8400000000	30.9000000000	-131.8000000000	-167.8000000000	598.0000000000	220.4000000000	2017-198	18:14:18.185
141	748.1700000000	4.7700000000	1.9100000000	30.9000000000	-129.9000000000	-169.8000000000	598.0000000000	218.1000000000	2017-198	18:14:18.809
142	748.8100000000	4.5400000000	1.8700000000	30.9000000000	-130.5000000000	-169.6000000000	598.2000000000	218.6000000000	2017-198	18:14:19.433
143	749.4500000000	4.5100000000	1.6500000000	30.9000000000	-131.6000000000	-168.9000000000	598.2000000000	218.7000000000	2017-198	18:14:20.072
144	750.0900000000	4.5000000000	1.3300000000	30.9000000000	-131.2000000000	-169.2000000000	598.2000000000	219.5000000000	2017-198	18:14:20.712
145	750.7300000000	4.4300000000	1.6500000000	30.9000000000	-130.7000000000	-169.6000000000	598.0000000000	219.2000000000	2017-198	18:14:21.430
146	751.3700000000	4.7600000000	1.8200000000	30.9000000000	-130.5000000000	-169.8000000000	598.2000000000	218.2000000000	2017-198	18:14:22.054
147	752.0100000000	4.5900000000	1.5000000000	30.9000000000	-131.6000000000	-169.6000000000	598.0000000000	219.0000000000	2017-198	18:14:22.646
148	752.6600000000	4.5700000000	1.4800000000	31.1000000000	-131.9000000000	-169.4000000000	598.1000000000	218.9000000000	2017-198	18:14:23.317
149	753.3000000000	4.5900000000	1.7400000000	30.9000000000	-130.9000000000	-169.4000000000	598.0000000000	218.6000000000	2017-198	18:14:23.910
150	753.9400000000	4.5900000000	1.6100000000	30.9000000000	-131.1000000000	-169.6000000000	598.0000000000	218.9000000000	2017-198	18:14:24.565
151	754.5800000000	4.7600000000	1.7200000000	30.9000000000	-129.3000000000	-170.7000000000	598.2000000000	218.8000000000	2017-198	18:14:25.205
152	755.2200000000	4.9900000000	2.0900000000	30.9000000000	-126.9000000000	-172.7000000000	598.2000000000	218.4000000000	2017-198	18:14:25.860
153	755.8600000000	5.5900000000	3.0600000000	30.9000000000	-125.0000000000	-175.9000000000	598.0000000000	216.1000000000	2017-198	18:14:26.484
154	756.5000000000	5.1100000000	2.4300000000	30.9000000000	-124.8000000000	-173.8000000000	598.2000000000	218.1000000000	2017-198	18:14:27.202
155	757.1400000000	4.8200000000	1.9900000000	30.9000000000	-127.7000000000	-171.4000000000	598.2000000000	218.6000000000	2017-198	18:14:27.779
156	757.7800000000	4.9900000000	2.4300000000	30.9000000000	-127.3000000000	-173.0000000000	598.0000000000	217.7000000000	2017-198	18:14:28.418
157	758.4300000000	5.3400000000	2.6000000000	30.9000000000	-125.4000000000	-174.3000000000	598.2000000000	217.2000000000	2017-198	18:14:29.042
158	759.0700000000	5.0800000000	2.3400000000	30.9000000000	-126.7000000000	-172.7000000000	598.0000000000	217.7000000000	2017-198	18:14:29.682
159	759.7000000000	4.9500000000	2.1900000000	30.9000000000	-127.3000000000	-172.1000000000	598.0000000000	218.1000000000	2017-198	18:14:30.322
160	760.3400000000	5.0200000000	2.2100000000	30.9000000000	-127.3000000000	-173.0000000000	598.0000000000	218.1000000000	2017-198	18:14:30.961
161	760.9800000000	5.0300000000	2.4300000000	30.9000000000	-127.3000000000	-172.7000000000	597.7000000000	217.6000000000	2017-198	18:14:31.679
162	761.6300000000	5.0800000000	2.4900000000	30.9000000000	-127.1000000000	-172.1000000000	598.2000000000	217.2000000000	2017-198	18:14:32.350
163	762.2600000000	5.0400000000	2.1400000000	30.9000000000	-126.7000000000	-172.3000000000	598.2000000000	218.1000000000	2017-198	18:14:32.958
164	762.9100000000	5.2100000000	2.5800000000	30.9000000000	-126.5000000000	-173.2000000000	598.0000000000	217.1000000000	2017-198	18:14:33.520
