awavelength,cwavelength,ats1,cts1,bts1,asv,a_spec,aflat,ats2,cts2,bts2,asv,a_spec,aflat,ats3,cts3,bts3,asv,a_spec,aflat
687.6,690.8,0.01103764,0.499486757,0.488449117,0.005151783,0.01256364,0.061736578,0.113775058,-0.019682027,-0.133457085,0.111216619,0.115275058,0.011387132,0.624885855,1.964799935,1.33991408,0.611020993,0.626411855,0.111100231
691.8,695,0.003519904,0.501679471,0.498159568,-0.002207896,0.005616904,0.054218841,0.111860914,-0.022814113,-0.134675027,0.110402519,0.114074914,0.009472988,0.608612536,1.95208259,1.343470053,0.596213817,0.610709536,0.094826912
696,698.9,-0.003977051,0.498721584,0.502698635,-0.009551709,-0.001757051,0.046721887,0.108575553,-0.026706037,-0.135281591,0.106132593,0.111185553,0.006187628,0.591153309,1.941035156,1.349881847,0.578170807,0.593373309,0.077367685
699.9,702.8,-0.011828787,0.494969595,0.506798382,-0.017667258,-0.010138287,0.03887015,0.106309403,-0.029800208,-0.136109611,0.104624317,0.108896903,0.003921478,0.574731738,1.931456847,1.356725109,0.562520827,0.576422238,0.060946115
703.4,706.5,-0.020107933,0.488993376,0.509101308,-0.027044514,-0.019610933,0.030591005,0.104491919,-0.031504193,-0.135996112,0.102969162,0.106522919,0.002103993,0.55987119,1.921760064,1.361888874,0.547420461,0.56036819,0.046085567
707.3,710,-0.029260827,0.483823907,0.513084733,-0.03632163,-0.030889327,0.021438111,0.104981693,-0.034555283,-0.139536976,0.105359518,0.105901193,0.002593767,0.547422812,1.912827293,1.365404481,0.537819777,0.545794312,0.033637188
710.8,713.6,-0.041334673,0.479976666,0.521311338,-0.050725442,-0.045590673,0.009364265,0.103372389,-0.038872443,-0.142244832,0.102120709,0.102808389,0.000984464,0.529055485,1.904954138,1.375898653,0.514769785,0.524799485,0.015269861
714.2,716.9,-0.050698938,0.475682838,0.526381776,-0.058360609,-0.058429938,0,0.102387926,-0.042509934,-0.14489786,0.101582456,0.099687926,0,0.513785624,1.896903194,1.38311757,0.501292101,0.506054624,0
717.7,720.3,-0.060170931,0.474463671,0.534634603,-0.067414221,-0.072401931,-0.009471994,0.099823727,-0.047462163,-0.14728589,0.097862869,0.094437227,-0.002564199,0.500445001,1.890333596,1.389888595,0.490243348,0.488214001,-0.013340623
720.9,723.7,-0.07294611,0.483154798,0.556100908,-0.083466846,-0.09022611,-0.022247173,0.097641989,-0.050290869,-0.147932858,0.095845264,0.089136989,-0.004745936,0.479388043,1.88290023,1.403512187,0.462047019,0.462108043,-0.034397581
724.1,726.8,-0.078686173,0.47135212,0.550038292,-0.083685582,-0.101436673,-0.027987235,0.093944505,-0.053450489,-0.147394994,0.090724115,0.082055505,-0.008443421,0.469014139,1.87805779,1.409043651,0.459978804,0.446263639,-0.044771485
727.5,730.2,-0.081983704,0.468291708,0.550275412,-0.084602333,-0.111701204,-0.031284767,0.095796872,-0.055814908,-0.15161178,0.097267869,0.079274372,-0.006591054,0.462029017,1.874233381,1.412204364,0.456482008,0.432311517,-0.051756607
730.4,733.1,-0.082656412,0.478851207,0.561507619,-0.083282727,-0.118380412,-0.031957475,0.093773883,-0.054178963,-0.147952846,0.091890411,0.072947883,-0.008614043,0.452527749,1.866934584,1.414406835,0.443681741,0.416803749,-0.061257875
733.5,736.2,-0.066852131,0.48870714,0.555559271,-0.053087112,-0.109034631,-0.016153194,0.09433343,-0.050015333,-0.144348764,0.094820778,0.06856343,-0.008054495,0.462375635,1.864783676,1.402408042,0.470952826,0.420193135,-0.051409989
736.5,739.1,-0.04479986,0.492470729,0.537270588,-0.025028858,-0.09277236,0.005899078,0.098749239,-0.042933419,-0.141682658,0.102708239,0.068164239,-0.003638687,0.480454984,1.864016408,1.383561424,0.496664056,0.432482484,-0.03333064
739.2,741.8,-0.01986769,0.507391755,0.527259445,0.004141065,-0.07204769,0.030831247,0.102672056,-0.034003146,-0.136675202,0.106449584,0.068172056,0.000284131,0.502652917,1.862896224,1.360243307,0.524028704,0.450472917,-0.011132707
742.1,744.6,0.004699579,0.51556902,0.510869441,0.026634641,-0.050563921,0.055398516,0.108633657,-0.025877021,-0.134510678,0.113956514,0.070634157,0.006245731,0.525547721,1.863098136,1.337550415,0.54598951,0.470284221,0.011762097
744.8,747.2,0.027203365,0.524651703,0.497448338,0.047976091,-0.029260635,0.077902303,0.11687792,-0.018669903,-0.135547823,0.124488009,0.07692392,0.014489994,0.545375912,1.861233702,1.31585779,0.563678857,0.488911912,0.031590288
747.3,749.5,0.03942481,0.519578945,0.480154135,0.051114888,-0.01677569,0.090123748,0.121707508,-0.013705657,-0.135413165,0.126327114,0.080951008,0.019319582,0.559207428,1.860345385,1.301137957,0.572437573,0.503006928,0.045421804
749.8,752,0.048917232,0.535095143,0.486177911,0.057270564,-0.005696768,0.09961617,0.126855857,-0.008198938,-0.135054794,0.131386403,0.086268857,0.024467931,0.569012499,1.855144444,1.286131945,0.577640961,0.514398499,0.055226875
