SN	SV-MPR	VA-MPR	V15-MPR	TEMP-MPR(PCB)	COND	Pres	TILT(X)	TILT(Y)	TEMP(TILT)	T(w)	FRAME	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0068	12.0300000000	4.9800000000	14.9700000000	23.0000000000	39.8980201147	7.4018695740	0.7157111399	5.1844413516	34068	17.2100519626	69	67.4700000000	0	2017-198	19:16:37.587
0068	12.0900000000	4.9800000000	14.9700000000	22.5000000000	39.9707012462	7.4206560450	1.3028948768	4.0488042753	34069	17.1892936591	70	67.5900000000	0	2017-198	19:16:37.696
0068	12.0600000000	4.9800000000	14.9700000000	22.5000000000	39.9286216173	7.4081317310	1.5413274701	3.3509208035	34068	17.2331165159	71	67.6900000000	0	2017-198	19:16:37.867
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.9018452163	7.4206560450	1.3179866369	3.1000213944	34069	17.3000024712	72	67.7900000000	0	2017-198	19:16:37.899
0068	12.0600000000	4.9800000000	14.9700000000	22.5000000000	39.9171458692	7.4143938880	0.8078035257	3.3165664992	34069	17.3622741315	73	67.9000000000	0	2017-198	19:16:38.023
0068	12.0300000000	4.9800000000	14.9700000000	23.0000000000	39.9171458692	7.4143938880	0.4318509623	3.6915619781	34068	17.3714994570	74	67.9900000000	0	2017-198	19:16:38.101
0068	12.0300000000	4.9500000000	14.9700000000	22.5000000000	39.9209710939	7.4143938880	0.2747995703	4.1011344143	34069	17.4130131232	75	68.0900000000	0	2017-198	19:16:38.273
0068	12.0300000000	4.9500000000	14.9700000000	23.0000000000	39.9362722383	7.4143938880	0.4892311522	4.4196795750	34069	17.4314634972	76	68.2000000000	0	2017-198	19:16:38.304
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.9477483544	7.4206560450	0.8968712765	4.5917203815	34069	17.4476075085	77	68.3100000000	0	2017-198	19:16:38.413
0068	11.9700000000	4.9800000000	14.9700000000	23.0000000000	39.9477483544	7.4081317310	1.2349801343	4.6605477640	34068	17.4245446167	78	68.4000000000	0	2017-198	19:16:38.585
0068	12.0000000000	4.9800000000	14.9700000000	23.0000000000	39.9553992206	7.4143938880	1.3843886319	4.9449017416	34069	17.4591389099	79	68.5100000000	0	2017-198	19:16:38.616
0068	12.0000000000	4.9500000000	14.9700000000	22.5000000000	39.9553992206	7.4081317310	1.3406240009	5.4315466567	34069	17.4822016310	80	68.6000000000	0	2017-198	19:16:38.710
0068	12.0000000000	4.9500000000	14.9700000000	23.0000000000	39.9515737753	7.4206560450	1.1791368901	6.3128013195	34069	17.4822016310	81	68.7100000000	0	2017-198	19:16:38.835
0068	12.0000000000	4.9800000000	14.9700000000	23.0000000000	39.9477483544	7.4206560450	1.1595158123	7.3407352564	34069	17.4729765551	82	68.8600000000	0	2017-198	19:16:38.975
0068	12.0900000000	4.9800000000	14.9700000000	23.0000000000	39.9592246905	7.4269182020	1.3496788537	7.6306105770	34069	17.4660577373	83	68.9500000000	0	2017-198	19:16:39.069
0068	12.0600000000	4.9500000000	14.9700000000	23.0000000000	39.9553992206	7.4269182020	1.6605299824	7.5119434990	34069	17.4453012248	84	69.0500000000	0	2017-198	19:16:39.162
0068	12.0600000000	4.9800000000	14.9700000000	22.5000000000	39.9553992206	7.4331803590	1.8958902319	7.1815764527	34069	17.4706702835	85	69.1500000000	0	2017-198	19:16:39.334
0068	12.0300000000	4.9800000000	14.9700000000	23.0000000000	39.9745268134	7.4269182020	1.8717523683	6.8123372225	34069	17.5075705107	86	69.2600000000	0	2017-198	19:16:39.365
0068	12.0300000000	4.9800000000	14.9700000000	23.0000000000	39.9707012462	7.4269182020	1.5096391802	6.6022817772	34069	17.5144892775	87	69.3600000000	0	2017-198	19:16:39.474
0068	12.0900000000	4.9800000000	14.9700000000	23.0000000000	39.9668757031	7.4143938880	1.0387652403	6.4867762351	34069	17.5144892775	88	69.4600000000	0	2017-198	19:16:39.568
0068	12.0600000000	4.9800000000	14.9700000000	22.5000000000	39.9668757031	7.4143938880	0.5888864284	6.2753119898	34069	17.5075705107	89	69.5800000000	0	2017-198	19:16:39.693
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.9745268134	7.4206560450	0.5783172335	5.7281803575	34069	17.5006517363	90	69.7300000000	0	2017-198	19:16:39.833
0068	12.0300000000	4.9800000000	14.9700000000	23.0000000000	39.9745268134	7.4269182020	0.8078035257	5.2608106725	34069	17.5098767671	91	69.8200000000	0	2017-198	19:16:40.005
0068	12.0600000000	4.9800000000	14.9700000000	22.5000000000	39.9745268134	7.4269182020	1.0448029927	4.4271587887	34069	17.5144892775	92	69.9300000000	0	2017-198	19:16:40.036
0068	12.0300000000	4.9500000000	14.9700000000	23.0000000000	39.9783524052	7.4331803590	1.0553690027	3.5451270091	34069	17.5167955314	93	70.0300000000	0	2017-198	19:16:40.129
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.9783524052	7.4206560450	0.8229001154	2.6701042435	34069	17.5121830227	94	70.1400000000	0	2017-198	19:16:40.254
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.9821780214	7.4394425160	0.4545012913	1.8810754579	34069	17.5121830227	95	70.2700000000	0	2017-198	19:16:40.379
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.9821780214	7.4519668300	0.2899013577	1.3356581479	34069	17.5144892775	96	70.3600000000	0	2017-198	19:16:40.473
0068	11.9700000000	4.9800000000	14.9700000000	23.0000000000	39.9362722383	7.4644911440	0.1721035107	0.6819831690	34069	17.5237142884	97	70.4600000000	0	2017-198	19:16:40.675
0068	12.0600000000	4.9800000000	14.9700000000	22.5000000000	39.9286216173	7.4958019290	0.1116908835	-0.0811491528	34069	17.5214080368	98	70.5600000000	0	2017-198	19:16:40.675
0068	12.0900000000	4.9500000000	14.9700000000	23.0000000000	39.9133206690	7.4958019290	0.1464284320	-0.9623090232	34069	17.4937329538	99	70.6700000000	0	2017-198	19:16:40.785
0068	12.0600000000	4.9800000000	14.9700000000	22.5000000000	39.8712450944	7.5083262430	0.2536568205	-1.7148455688	34069	17.4591389099	100	70.7700000000	0	2017-198	19:16:40.987
0068	12.0000000000	4.9800000000	14.9700000000	22.5000000000	39.8176986995	7.5396370280	0.3638979878	-2.4666143740	34069	17.4107068205	101	70.8700000000	0	2017-198	19:16:40.987
0068	12.0300000000	4.9800000000	14.9700000000	23.0000000000	39.8329971717	7.5646856560	0.4620513273	-3.1583927580	34069	17.3207598365	102	71.0100000000	0	2017-198	19:16:41.128
0068	12.0900000000	4.9800000000	14.9700000000	22.5000000000	39.8215232803	7.5834721270	0.4741313083	-3.4648185071	34069	17.3161471017	103	71.1100000000	0	2017-198	19:16:41.299
0068	12.0600000000	4.9800000000	14.9700000000	22.5000000000	39.7832785998	7.6210450690	0.4152405106	-3.6379590588	34069	17.2861641410	104	71.2300000000	0	2017-198	19:16:41.331
0068	12.0600000000	4.9800000000	14.9700000000	22.5000000000	39.7718056846	7.6398315400	0.3669181833	-3.6468369594	34070	17.2746321441	105	71.3200000000	0	2017-198	19:16:41.424
0068	12.0600000000	4.9500000000	14.9700000000	23.0000000000	39.7067967865	7.6523558540	0.3518171468	-3.5210566737	34069	17.2238907227	106	71.4200000000	0	2017-198	19:16:41.611
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.6800305467	7.6836666390	0.3578575790	-3.2546271877	34070	17.1846806754	107	71.5300000000	0	2017-198	19:16:41.643
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.6723832789	7.7149774240	0.3910795354	-2.8192509166	34070	17.1500829675	108	71.6600000000	0	2017-198	19:16:41.767
0068	12.0300000000	4.9500000000	14.9700000000	23.0000000000	39.6570890498	7.7337638950	0.3895694619	-2.4532760590	34070	17.1131780702	109	71.7500000000	0	2017-198	19:16:41.861
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.6647361132	7.7713368370	0.4001399453	-2.0322538500	34070	17.1085649066	110	71.8500000000	0	2017-198	19:16:42.064
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.6570890498	7.7901233080	0.4016500084	-1.6124744853	34069	17.0993385441	111	71.9500000000	0	2017-198	19:16:42.064
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.6609125689	7.8276962500	0.3820190725	-1.1004057691	34070	17.0901121338	112	72.0900000000	0	2017-198	19:16:42.204
0068	11.9700000000	4.9500000000	14.9700000000	22.5000000000	39.6685596833	7.8590070350	0.3608777863	-0.7053506555	34069	17.0947253450	113	72.2300000000	0	2017-198	19:16:42.345
0068	12.0600000000	4.9800000000	14.9700000000	23.0000000000	39.6532655564	7.8965799770	0.3533272571	-0.5122017287	34070	17.0947253450	114	72.3300000000	0	2017-198	19:16:42.438
0068	12.0300000000	4.9500000000	14.9700000000	23.0000000000	39.6303251348	7.9216286050	0.3427564542	-0.3383245375	34070	17.0647392530	115	72.4600000000	0	2017-198	19:16:42.579
0068	12.0300000000	4.9800000000	14.9700000000	23.0000000000	39.6150320335	7.9654637040	0.3774888212	-0.2669784777	34070	17.0462860090	116	72.6100000000	0	2017-198	19:16:42.719
0068	12.0600000000	4.9500000000	14.9700000000	23.0000000000	39.6188552705	8.0030366460	0.4076902463	-0.2773835400	34070	17.0347526259	117	72.7000000000	0	2017-198	19:16:42.813
0068	12.0900000000	4.9800000000	14.9700000000	23.0000000000	39.6150320335	8.0218231170	0.4741313083	-0.3234613425	34070	17.0347526259	118	72.8000000000	0	2017-198	19:16:43.015
0068	12.0300000000	4.9500000000	14.9700000000	23.0000000000	39.5959162370	8.0468717450	0.5466092158	-0.4037190471	34070	17.0301392495	119	72.9100000000	0	2017-198	19:16:43.015
