SN	SV-MPR	VA-MPR	V15-MPR	TEMP-MPR(PCB)	COND	Pres	TILT(X)	TILT(Y)	TEMP(TILT)	T(w)	FRAME	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.6647361132	7.5020640860	-0.0574770064	0.2980873780	34872	17.5191017845	63	329.7800000000	0	2017-198	18:05:55.651
0068	12.0900000000	4.9800000000	15.0000000000	36.5000000000	39.6915016397	7.5020640860	-0.1073246396	0.2326366219	34871	17.5214080368	64	329.8900000000	0	2017-198	18:05:55.651
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.6953253883	7.5145884000	-0.3490328686	0.1195989356	34871	17.5283267891	65	330.0000000000	0	2017-198	18:05:55.760
0068	12.1200000000	4.9500000000	14.9700000000	36.5000000000	39.6838542189	7.5208505570	-0.6512211630	-0.0187000251	34871	17.5191017845	66	330.0900000000	0	2017-198	18:05:55.963
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.6800305467	7.5333748710	-1.0093905418	-0.1852193242	34870	17.5191017845	67	330.2000000000	0	2017-198	18:05:55.963
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.6838542189	7.5584234990	-1.2587978039	-0.2744106800	34870	17.5167955314	68	330.3100000000	0	2017-198	18:05:56.072
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.6800305467	7.5521613420	-1.3706662029	-0.3085978489	34871	17.5098767671	69	330.4100000000	0	2017-198	18:05:56.260
0068	12.0000000000	4.9800000000	14.9700000000	36.5000000000	39.6570890498	7.5772099700	-1.3842723689	-0.2833292242	34870	17.5029579953	70	330.5100000000	0	2017-198	18:05:56.260
0068	12.0300000000	4.9800000000	14.9700000000	36.5000000000	39.6570890498	7.5897342840	-1.2799614771	-0.0826359725	34870	17.4868141630	71	330.6700000000	0	2017-198	18:05:56.431
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.6494420887	7.6147829120	-1.1393796280	0.2489987688	34870	17.4822016310	72	330.8200000000	0	2017-198	18:05:56.572
0068	12.0600000000	4.9800000000	14.9700000000	36.0000000000	39.6570890498	7.6398315400	-1.0441539981	0.5078662555	34870	17.4683640110	73	330.9200000000	0	2017-198	18:05:56.665
0068	12.0600000000	4.9800000000	14.9700000000	36.5000000000	39.6532655564	7.6523558540	-0.8582541354	0.9365352805	34869	17.4683640110	74	331.0800000000	0	2017-198	18:05:56.837
0068	12.0000000000	4.9800000000	14.9700000000	36.5000000000	39.6341484742	7.6711423250	-0.6738876594	1.3669417642	34869	17.4660577373	75	331.2200000000	0	2017-198	18:05:56.977
0068	12.0600000000	4.9800000000	15.0000000000	36.5000000000	39.6303251348	7.6774044820	-0.5575364926	1.6530244722	34868	17.4683640110	76	331.3200000000	0	2017-198	18:05:57.180
0068	12.0300000000	4.9800000000	15.0000000000	36.5000000000	39.6417952302	7.6711423250	-0.4200418236	1.9481625831	34868	17.4614451868	77	331.4300000000	0	2017-198	18:05:57.180
0068	12.0300000000	4.9800000000	14.9700000000	36.0000000000	39.6494420887	7.6836666390	-0.3037097044	2.3597625917	34868	17.4545263527	78	331.5800000000	0	2017-198	18:05:57.336
0068	12.0300000000	4.9800000000	14.9700000000	36.5000000000	39.6456186467	7.7024531100	-0.2765164420	2.6596579521	34868	17.4591389099	79	331.7300000000	0	2017-198	18:05:57.492
0068	12.0300000000	4.9800000000	14.9700000000	36.5000000000	39.6417952302	7.7024531100	-0.2946452306	2.7805454179	34867	17.4591389099	80	331.8200000000	0	2017-198	18:05:57.695
0068	12.0900000000	4.9800000000	15.0000000000	36.5000000000	39.6417952302	7.7087152670	-0.3384573451	2.8775680503	34868	17.4545263527	81	331.9300000000	0	2017-198	18:05:57.695
0068	12.0900000000	4.9800000000	14.9700000000	36.0000000000	39.6417952302	7.7024531100	-0.3747165832	2.9417591884	34867	17.4499137911	82	332.0400000000	0	2017-198	18:05:57.804
