Compass Release Candidate 1
ACS Meter																																																																														
53000011		; Serial number																																																																												
3	; structure version number																																																																													
"Tcal = 20.9 degrees C, Ical = 21.9 degrees C, Acal = 24.3 degrees C  2 October 2007"																																																																														
0	0		; Depth calibration																																																																											
115200			; Baud rate																																																																											
0.25			; Path length (meters)																																																																											
83			; output wavelengths																																																																											
35			; number of temperature bins																																																																											
					3.704764	4.422285	5.462187	6.438727	7.46675	8.474118	9.483103	10.514667	11.512	12.46439	13.465714	14.482414	15.478333	16.477407	17.503913	18.500833	19.480455	20.519524	21.513333	22.492105	23.4665	24.475789	25.522941	26.526667	27.53	28.489737	29.487813	30.480345	31.49	32.501667	33.500476	34.4815	35.4935	36.4865	37.434737	; temperature bins																																						
C479.9	A477.6	30	1.202667	0.663982		-0.008374	-0.006162	-0.003804	-0.002784	-0.002064	-0.001489	-0.001106	-0.000553	0.000054	0.000633	0.001202	0.001356	0.00119	0.000862	0.00084	0.000542	0.000477	0.000396	0.000358	0.000169	0.000117	0.000136	0	-0.000031	0.000006	0.00007	0.000252	0.000355	0.000675	0.000749	0.000766	0.000704	0.000809	0.000738	0.000478		-0.010284	-0.008514	-0.006692	-0.005477	-0.004747	-0.004127	-0.003726	-0.003488	-0.003162	-0.002566	-0.002076	-0.001724	-0.001427	-0.001289	-0.001136	-0.000875	-0.000593	-0.000459	-0.000247	-0.00034	-0.00032	0.000095	0	-0.000102	0.000002	0.000414	0.000633	0.00071	0.000702	0.000756	0.000618	0.000604	0.000451	0.000346	0.000118		"; C and A offset, and C and A temperature correction info"
C484.5	A482.2	31	1.215377	0.6876		-0.007771	-0.005839	-0.003705	-0.002716	-0.002075	-0.001557	-0.00129	-0.000722	-0.000159	0.000434	0.00093	0.001106	0.001076	0.000748	0.00067	0.000489	0.000369	0.000333	0.000287	0.00011	0.000166	0.000128	0	-0.000117	0.00005	0.000051	0.000143	0.000318	0.000545	0.000779	0.000873	0.000747	0.00078	0.000765	0.000606		-0.009961	-0.008196	-0.0064	-0.005265	-0.004551	-0.003914	-0.003558	-0.003258	-0.002988	-0.002374	-0.002006	-0.001571	-0.001341	-0.001189	-0.00104	-0.000765	-0.000454	-0.000396	-0.000257	-0.000209	-0.000169	0.00012	0	0.000048	0.000102	0.000493	0.00073	0.000829	0.000877	0.000928	0.000887	0.000768	0.000646	0.000521	0.000385		"; C and A offset, and C and A temperature correction info"
C489.0	A486.9	32	1.228667	0.710917		-0.007727	-0.005958	-0.003995	-0.003038	-0.00244	-0.001983	-0.001602	-0.001068	-0.00053	0.000051	0.00048	0.000676	0.000663	0.000545	0.000472	0.000377	0.000288	0.000288	0.00018	0.000169	0.000075	0.000199	0	-0.000046	0.000082	0.00018	0.000317	0.000441	0.000645	0.000869	0.000903	0.000891	0.000881	0.000804	0.000691		-0.009774	-0.008058	-0.006311	-0.005188	-0.004546	-0.003912	-0.003463	-0.003239	-0.002947	-0.002406	-0.001959	-0.001605	-0.00132	-0.001173	-0.001025	-0.000754	-0.000467	-0.000356	-0.000207	-0.000197	-0.000175	0.000269	0	0.000038	0.000154	0.000504	0.000787	0.000897	0.000957	0.000995	0.000974	0.00093	0.000799	0.000746	0.00065		"; C and A offset, and C and A temperature correction info"
C493.5	A491.6	34	1.241305	0.733203		-0.008456	-0.006687	-0.004692	-0.003766	-0.003236	-0.002671	-0.002186	-0.001724	-0.001223	-0.000654	-0.000199	0.000185	0.000182	0.000127	0.000165	0.000116	0.000104	0.000088	0.00014	0.000178	0.000043	0.000054	0	0.000012	0.000111	0.000156	0.000343	0.00047	0.000731	0.000928	0.000932	0.000961	0.000928	0.00096	0.000821		-0.00994	-0.008245	-0.006517	-0.005431	-0.004758	-0.004129	-0.00376	-0.003505	-0.003179	-0.002646	-0.002247	-0.001881	-0.001637	-0.001393	-0.001236	-0.000936	-0.000644	-0.000463	-0.000311	-0.000262	-0.000235	0.000159	0	0.000123	0.000143	0.000506	0.000751	0.000822	0.000928	0.00095	0.000984	0.000957	0.00088	0.000823	0.000691		"; C and A offset, and C and A temperature correction info"
C498.2	A496.1	35	1.252435	0.754848		-0.008277	-0.006705	-0.004923	-0.004039	-0.003425	-0.00296	-0.002584	-0.002032	-0.001576	-0.00096	-0.000551	-0.00024	-0.0001	-0.000222	-0.000104	-0.000182	-0.000165	-0.000109	-0.000053	-0.000055	-0.00005	0.000007	0	-0.000141	0.000007	0.000067	0.000198	0.000363	0.000616	0.00082	0.000946	0.00086	0.0009	0.000877	0.000745		-0.009971	-0.008357	-0.006685	-0.005581	-0.004957	-0.00434	-0.003964	-0.003702	-0.00341	-0.002856	-0.00246	-0.002107	-0.00176	-0.0015	-0.001339	-0.001035	-0.000745	-0.000612	-0.000323	-0.000325	-0.000212	0.000123	0	0.00003	0.000109	0.000522	0.000827	0.000874	0.000959	0.001022	0.001114	0.001015	0.000939	0.000858	0.000809		"; C and A offset, and C and A temperature correction info"
C503.1	A500.8	36	1.263767	0.77519		-0.008641	-0.007148	-0.005461	-0.004581	-0.003994	-0.003527	-0.003119	-0.002615	-0.002081	-0.001479	-0.00093	-0.000585	-0.000426	-0.000378	-0.000246	-0.00022	-0.000164	-0.00012	-0.00011	-0.000122	-0.000056	0.000005	0	-0.000053	0.00009	0.0002	0.000327	0.000477	0.000774	0.0009	0.000985	0.000915	0.001035	0.000914	0.000838		-0.010048	-0.008497	-0.006848	-0.005811	-0.00519	-0.00459	-0.004196	-0.003927	-0.003652	-0.00309	-0.00274	-0.002317	-0.00195	-0.001745	-0.001443	-0.001118	-0.000831	-0.00066	-0.000476	-0.00042	-0.000362	0.000031	0	-0.000038	0.00009	0.000425	0.000687	0.000785	0.000885	0.000993	0.001038	0.001092	0.001017	0.000967	0.000893		"; C and A offset, and C and A temperature correction info"
C507.6	A505.4	37	1.273556	0.794579		-0.009272	-0.007765	-0.005981	-0.005077	-0.004506	-0.003992	-0.00359	-0.003139	-0.002647	-0.001975	-0.001527	-0.001056	-0.00088	-0.000748	-0.000546	-0.000471	-0.000334	-0.000239	-0.000116	-0.00011	-0.000089	0.000016	0	-0.000016	0.000111	0.000233	0.000395	0.000539	0.000772	0.000972	0.001039	0.000969	0.001059	0.000978	0.000837		-0.01014	-0.008635	-0.007025	-0.006027	-0.005369	-0.004793	-0.004362	-0.00403	-0.003775	-0.003192	-0.002834	-0.002432	-0.002118	-0.001797	-0.001538	-0.001205	-0.00092	-0.000662	-0.000449	-0.000322	-0.000263	0.00004	0	0.00007	0.000184	0.000545	0.000788	0.00091	0.001006	0.001105	0.001158	0.001258	0.001128	0.001171	0.001093		"; C and A offset, and C and A temperature correction info"
C512.6	A510.2	39	1.281889	0.813282		-0.009191	-0.007771	-0.006143	-0.00531	-0.004661	-0.004253	-0.00383	-0.003363	-0.002813	-0.002255	-0.00171	-0.00129	-0.001011	-0.000921	-0.000692	-0.000588	-0.000475	-0.000409	-0.000224	-0.000177	-0.000077	-0.000046	0	-0.000038	0.000112	0.000233	0.000334	0.000553	0.000766	0.000932	0.001047	0.000952	0.000988	0.001001	0.000927		-0.010513	-0.008974	-0.007357	-0.006305	-0.0057	-0.005103	-0.00468	-0.004353	-0.004047	-0.003491	-0.003075	-0.002611	-0.002224	-0.001919	-0.001624	-0.001272	-0.00091	-0.000699	-0.000442	-0.000432	-0.000332	0.000034	0	0.000066	0.000186	0.000536	0.000794	0.000955	0.000998	0.00112	0.001242	0.001238	0.001225	0.001228	0.001223		"; C and A offset, and C and A temperature correction info"
C518.0	A515.1	40	1.290413	0.833115		-0.00944	-0.008054	-0.006493	-0.005636	-0.005122	-0.004597	-0.004185	-0.003646	-0.003171	-0.002599	-0.002035	-0.001639	-0.00129	-0.0011	-0.00082	-0.000695	-0.000546	-0.000353	-0.000301	-0.000204	-0.000104	-0.000002	0	0.00005	0.000182	0.000324	0.000486	0.000599	0.00085	0.000985	0.001039	0.001001	0.001023	0.000993	0.000836		-0.010776	-0.009307	-0.007706	-0.006654	-0.005994	-0.005328	-0.004905	-0.004571	-0.004252	-0.003665	-0.003249	-0.002739	-0.002375	-0.002054	-0.001693	-0.001346	-0.000967	-0.00076	-0.000479	-0.000386	-0.000252	0.000038	0	0.000103	0.000236	0.00057	0.000871	0.000983	0.001172	0.001241	0.001328	0.001395	0.001359	0.001342	0.001394		"; C and A offset, and C and A temperature correction info"
C522.3	A520.3	41	1.29964	0.853966		-0.009665	-0.008321	-0.00674	-0.005945	-0.005351	-0.004855	-0.004406	-0.003947	-0.003533	-0.002985	-0.002355	-0.001881	-0.001553	-0.001348	-0.001065	-0.000874	-0.000698	-0.000516	-0.000344	-0.000246	-0.0002	-0.000018	0	-0.000012	0.000136	0.000299	0.000451	0.000535	0.000775	0.000887	0.000973	0.000901	0.000967	0.000932	0.000717		-0.011107	-0.009628	-0.008038	-0.007016	-0.006309	-0.005656	-0.005231	-0.004839	-0.004587	-0.003996	-0.003501	-0.002986	-0.002559	-0.00226	-0.001875	-0.001474	-0.001106	-0.000836	-0.000581	-0.000469	-0.000314	-0.000028	0	0.000087	0.000208	0.000542	0.000786	0.000952	0.001104	0.001206	0.001342	0.001366	0.001365	0.001401	0.001374		"; C and A offset, and C and A temperature correction info"
