FRAME(COUNTER)	TIMER	ROLL	PITCH	TEMP(PCB)	MAG(X)	MAG(Y)	MAG(Z)	COMP	DATETAG	TIMETAG2
135	4997.3900000000	-1.2200000000	-3.8900000000	34.3000000000	-125.9000000000	156.0000000000	602.8000000000	119.9000000000	2017-198	19:25:07.972
136	4998.0300000000	-1.5000000000	-3.6600000000	34.4000000000	-124.1000000000	157.6000000000	602.9000000000	120.4000000000	2017-198	19:25:08.611
137	4998.6700000000	-1.3400000000	-3.5300000000	34.4000000000	-125.3000000000	156.5000000000	602.7000000000	121.0000000000	2017-198	19:25:09.251
138	4999.3200000000	-1.2200000000	-3.6600000000	34.4000000000	-126.1000000000	154.7000000000	602.7000000000	120.9000000000	2017-198	19:25:09.937
139	4999.9600000000	-0.9200000000	-5.1200000000	34.3000000000	-135.8000000000	153.7000000000	602.5000000000	118.8000000000	2017-198	19:25:10.593
140	5000.6000000000	-0.0900000000	-6.4600000000	34.4000000000	-143.1000000000	146.6000000000	602.5000000000	116.4000000000	2017-198	19:25:11.185
141	5001.2400000000	-1.3500000000	-3.5400000000	34.4000000000	-133.0000000000	149.9000000000	602.5000000000	124.5000000000	2017-198	19:25:11.841
142	5001.8800000000	-0.8600000000	-4.2700000000	34.4000000000	-132.2000000000	153.5000000000	602.2000000000	120.4000000000	2017-198	19:25:12.496
143	5002.5200000000	-0.4200000000	-5.5100000000	34.4000000000	-136.0000000000	151.5000000000	602.5000000000	117.1000000000	2017-198	19:25:13.120
144	5003.1700000000	-0.7100000000	-4.8600000000	34.3000000000	-132.6000000000	152.4000000000	602.1000000000	118.6000000000	2017-198	19:25:13.775
145	5003.8100000000	-0.8300000000	-4.6000000000	34.4000000000	-132.6000000000	153.1000000000	602.5000000000	119.5000000000	2017-198	19:25:14.415
146	5004.4500000000	-0.7300000000	-5.0600000000	34.3000000000	-135.4000000000	153.7000000000	602.3000000000	118.6000000000	2017-198	19:25:15.054
147	5005.0900000000	-0.5600000000	-4.7400000000	34.3000000000	-135.2000000000	152.1000000000	602.5000000000	119.5000000000	2017-198	19:25:15.756
148	5005.7300000000	-0.6700000000	-4.5400000000	34.4000000000	-135.0000000000	151.3000000000	602.5000000000	120.4000000000	2017-198	19:25:16.318
149	5006.3700000000	-1.0800000000	-4.9600000000	34.3000000000	-135.4000000000	153.0000000000	602.3000000000	119.6000000000	2017-198	19:25:16.957
150	5007.0100000000	-0.8400000000	-5.1200000000	34.3000000000	-136.2000000000	151.7000000000	602.5000000000	119.1000000000	2017-198	19:25:17.597
151	5007.6500000000	-0.8400000000	-4.8300000000	34.4000000000	-135.8000000000	151.3000000000	602.7000000000	120.0000000000	2017-198	19:25:18.346
152	5008.3000000000	-0.9500000000	-4.9900000000	34.3000000000	-136.0000000000	152.6000000000	602.3000000000	119.5000000000	2017-198	19:25:18.876
153	5008.9400000000	-0.7400000000	-4.7500000000	34.4000000000	-136.4000000000	151.5000000000	602.5000000000	120.2000000000	2017-198	19:25:19.516
154	5009.5800000000	-0.4200000000	-4.7900000000	34.4000000000	-135.2000000000	150.4000000000	602.5000000000	119.4000000000	2017-198	19:25:20.155
155	5010.2200000000	-0.8900000000	-4.9200000000	34.4000000000	-135.6000000000	152.0000000000	602.5000000000	119.7000000000	2017-198	19:25:20.811
156	5010.8600000000	-0.5300000000	-4.8000000000	34.4000000000	-135.8000000000	151.5000000000	602.2000000000	119.5000000000	2017-198	19:25:21.450
157	5011.5000000000	-0.7000000000	-4.9100000000	34.4000000000	-135.6000000000	151.3000000000	602.5000000000	119.5000000000	2017-198	19:25:22.105
158	5012.1400000000	-0.9500000000	-5.0900000000	34.4000000000	-136.4000000000	152.9000000000	602.9000000000	119.3000000000	2017-198	19:25:22.729
