Sample Name, DR-05P0
Time, 2017/07/12 03:16:07
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
685.0, -0.0014, 100.33
686.0, -0.0014, 100.33
687.0, -0.0014, 100.33
688.0, -0.0015, 100.33
689.0, -0.0015, 100.34
690.0, -0.0014, 100.33
691.0, -0.0014, 100.33
692.0, -0.0014, 100.33
693.0, -0.0014, 100.33
694.0, -0.0015, 100.34
695.0, -0.0014, 100.32
696.0, -0.0015, 100.34
697.0, -0.0015, 100.34
698.0, -0.0015, 100.34
699.0, -0.0015, 100.34
700.0, -0.0015, 100.34
701.0, -0.0014, 100.33
702.0, -0.0015, 100.35
703.0, -0.0015, 100.34
704.0, -0.0015, 100.34
705.0, -0.0015, 100.34
706.0, -0.0015, 100.34
707.0, -0.0015, 100.35
708.0, -0.0015, 100.35
709.0, -0.0015, 100.35
710.0, -0.0015, 100.35
711.0, -0.0016, 100.36
712.0, -0.0016, 100.37
713.0, -0.0016, 100.36
714.0, -0.0016, 100.37
715.0, -0.0016, 100.37
716.0, -0.0016, 100.36
717.0, -0.0016, 100.36
718.0, -0.0016, 100.37
719.0, -0.0015, 100.36
720.0, -0.0014, 100.33
721.0, -0.0015, 100.34
722.0, -0.0015, 100.35
723.0, -0.0015, 100.34
724.0, -0.0014, 100.33
725.0, -0.0015, 100.35
726.0, -0.0015, 100.35
727.0, -0.0015, 100.35
728.0, -0.0015, 100.35
729.0, -0.0015, 100.35
730.0, -0.0016, 100.38
731.0, -0.0016, 100.36
732.0, -0.0017, 100.38
733.0, -0.0017, 100.39
734.0, -0.0016, 100.37
735.0, -0.0015, 100.36
736.0, -0.0014, 100.33
737.0, -0.0013, 100.31
738.0, -0.0012, 100.29
739.0, -0.0012, 100.27
740.0, -0.0011, 100.25
741.0, -0.0010, 100.24
742.0, -0.0010, 100.22
743.0, -0.0009, 100.21
744.0, -0.0008, 100.20
745.0, -0.0009, 100.20
746.0, -0.0008, 100.19
747.0, -0.0008, 100.19
748.0, -0.0009, 100.20
749.0, -0.0009, 100.21
750.0, -0.0009, 100.22
751.0, -0.0009, 100.21
752.0, -0.0010, 100.22
753.0, -0.0009, 100.22
754.0, -0.0010, 100.22
755.0, -0.0009, 100.21
756.0, -0.0009, 100.21
757.0, -0.0010, 100.22
758.0, -0.0010, 100.22
759.0, -0.0010, 100.23
760.0, -0.0011, 100.25
761.0, -0.0011, 100.25
762.0, -0.0011, 100.26
763.0, -0.0011, 100.25
764.0, -0.0011, 100.25
765.0, -0.0012, 100.28
766.0, -0.0012, 100.27
767.0, -0.0013, 100.29
768.0, -0.0014, 100.32
769.0, -0.0013, 100.30
770.0, -0.0013, 100.31
771.0, -0.0013, 100.29
772.0, -0.0013, 100.31
773.0, -0.0014, 100.31
774.0, -0.0014, 100.32
775.0, -0.0014, 100.33
776.0, -0.0015, 100.34
777.0, -0.0015, 100.34
778.0, -0.0015, 100.35
779.0, -0.0015, 100.35
780.0, -0.0016, 100.36
781.0, -0.0016, 100.36
782.0, -0.0016, 100.36
783.0, -0.0016, 100.36
784.0, -0.0016, 100.37
785.0, -0.0017, 100.39
786.0, -0.0017, 100.38
787.0, -0.0017, 100.40
788.0, -0.0017, 100.40
789.0, -0.0018, 100.42
790.0, -0.0019, 100.43
791.0, -0.0019, 100.43
792.0, -0.0018, 100.41
793.0, -0.0018, 100.42
794.0, -0.0019, 100.43
795.0, -0.0018, 100.42
796.0, -0.0017, 100.40
797.0, -0.0018, 100.42
798.0, -0.0019, 100.43
799.0, -0.0019, 100.45
800.0, -0.0019, 100.45
801.0, -0.0020, 100.46
802.0, -0.0020, 100.45
803.0, -0.0019, 100.45
804.0, -0.0020, 100.46
805.0, -0.0020, 100.46
806.0, -0.0020, 100.45
807.0, -0.0021, 100.48
808.0, -0.0020, 100.47
809.0, -0.0021, 100.49
810.0, -0.0021, 100.48
811.0, -0.0021, 100.49
812.0, -0.0021, 100.48
813.0, -0.0021, 100.49
