Sample Name, RO-01P0
Time, 2017/07/12 05:20:08
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
672.0, 0.0002, 99.96
673.0, 0.0002, 99.95
674.0, 0.0002, 99.96
675.0, 0.0002, 99.95
676.0, 0.0002, 99.95
677.0, 0.0003, 99.93
678.0, 0.0003, 99.94
679.0, 0.0004, 99.91
680.0, 0.0003, 99.93
681.0, 0.0002, 99.95
682.0, 0.0002, 99.96
683.0, 0.0002, 99.96
684.0, 0.0002, 99.96
685.0, 0.0002, 99.96
686.0, 0.0001, 99.97
687.0, 0.0002, 99.96
688.0, 0.0001, 99.97
689.0, 0.0002, 99.96
690.0, 0.0001, 99.97
691.0, 0.0002, 99.96
692.0, 0.0002, 99.96
693.0, 0.0002, 99.96
694.0, 0.0002, 99.95
695.0, 0.0002, 99.95
696.0, 0.0002, 99.96
697.0, 0.0002, 99.95
698.0, 0.0002, 99.95
699.0, 0.0002, 99.96
700.0, 0.0001, 99.97
701.0, 0.0002, 99.96
702.0, 0.0002, 99.95
703.0, 0.0002, 99.94
704.0, 0.0002, 99.94
705.0, 0.0002, 99.95
706.0, 0.0002, 99.95
707.0, 0.0002, 99.95
708.0, 0.0002, 99.95
709.0, 0.0002, 99.95
710.0, 0.0002, 99.96
711.0, 0.0002, 99.96
712.0, 0.0001, 99.97
713.0, 0.0001, 99.97
714.0, 0.0001, 99.97
715.0, 0.0002, 99.95
716.0, 0.0002, 99.95
717.0, 0.0002, 99.95
718.0, 0.0002, 99.96
719.0, 0.0002, 99.96
720.0, 0.0002, 99.96
721.0, 0.0001, 99.98
722.0, 0.0001, 99.98
723.0, 0.0002, 99.95
724.0, 0.0002, 99.95
725.0, 0.0002, 99.95
726.0, 0.0002, 99.96
727.0, 0.0003, 99.93
728.0, 0.0003, 99.93
729.0, 0.0004, 99.92
730.0, 0.0003, 99.93
731.0, 0.0003, 99.93
732.0, 0.0003, 99.93
733.0, 0.0004, 99.92
734.0, 0.0003, 99.92
735.0, 0.0004, 99.91
736.0, 0.0004, 99.91
737.0, 0.0005, 99.89
738.0, 0.0004, 99.90
739.0, 0.0004, 99.90
740.0, 0.0004, 99.91
741.0, 0.0003, 99.92
742.0, 0.0003, 99.93
743.0, 0.0003, 99.94
744.0, 0.0003, 99.93
745.0, 0.0003, 99.94
746.0, 0.0003, 99.93
747.0, 0.0003, 99.93
748.0, 0.0003, 99.93
749.0, 0.0003, 99.93
750.0, 0.0004, 99.92
751.0, 0.0003, 99.92
752.0, 0.0004, 99.91
753.0, 0.0003, 99.93
754.0, 0.0004, 99.91
755.0, 0.0003, 99.94
756.0, 0.0002, 99.94
757.0, 0.0003, 99.94
758.0, 0.0002, 99.95
759.0, 0.0003, 99.94
760.0, 0.0003, 99.93
761.0, 0.0002, 99.95
762.0, 0.0002, 99.95
763.0, 0.0002, 99.95
764.0, 0.0003, 99.94
765.0, 0.0003, 99.94
766.0, 0.0003, 99.94
767.0, 0.0003, 99.94
768.0, 0.0002, 99.94
769.0, 0.0002, 99.96
770.0, 0.0002, 99.95
771.0, 0.0001, 99.97
772.0, 0.0001, 99.97
773.0, 0.0001, 99.97
774.0, 0.0001, 99.98
775.0, 0.0001, 99.97
776.0, 0.0001, 99.97
777.0, 0.0002, 99.95
778.0, 0.0002, 99.96
779.0, 0.0003, 99.94
780.0, 0.0003, 99.94
