RO-05P0, Time, 2017/07/12 03:07:58
RO-05P0, Operator, Smith 
RO-05P0, Lamp, 255 
RO-05P0, Slit,0.0  
RO-05P0, Scan From, 850.0nm
RO-05P0, Scan To, 390.0nm
RO-05P0, Scan Step, 1.0nm
RO-05P0, Sample Filter, 11
RO-05P0, memo,  
RO-05P0, 583.0, -0.0005, 100.12
RO-05P0, 584.0, -0.0005, 100.12
RO-05P0, 585.0, -0.0005, 100.12
RO-05P0, 586.0, -0.0006, 100.14
RO-05P0, 587.0, -0.0006, 100.14
RO-05P0, 588.0, -0.0007, 100.15
RO-05P0, 589.0, -0.0007, 100.16
RO-05P0, 590.0, -0.0006, 100.14
RO-05P0, 591.0, -0.0006, 100.13
RO-05P0, 592.0, -0.0006, 100.14
RO-05P0, 593.0, -0.0005, 100.13
RO-05P0, 594.0, -0.0005, 100.11
RO-05P0, 595.0, -0.0007, 100.17
RO-05P0, 596.0, -0.0006, 100.14
RO-05P0, 597.0, -0.0007, 100.17
RO-05P0, 598.0, -0.0007, 100.16
RO-05P0, 599.0, -0.0006, 100.14
RO-05P0, 600.0, -0.0007, 100.16
RO-05P0, 601.0, -0.0006, 100.13
RO-05P0, 602.0, -0.0005, 100.13
RO-05P0, 603.0, -0.0006, 100.14
RO-05P0, 604.0, -0.0006, 100.14
RO-05P0, 605.0, -0.0007, 100.16
RO-05P0, 606.0, -0.0006, 100.14
RO-05P0, 607.0, -0.0006, 100.15
RO-05P0, 608.0, -0.0006, 100.15
RO-05P0, 609.0, -0.0007, 100.16
RO-05P0, 610.0, -0.0007, 100.15
RO-05P0, 611.0, -0.0006, 100.15
RO-05P0, 612.0, -0.0006, 100.13
RO-05P0, 613.0, -0.0006, 100.13
RO-05P0, 614.0, -0.0005, 100.13
RO-05P0, 615.0, -0.0006, 100.14
RO-05P0, 616.0, -0.0006, 100.14
RO-05P0, 617.0, -0.0006, 100.13
RO-05P0, 618.0, -0.0006, 100.14
RO-05P0, 619.0, -0.0006, 100.13
RO-05P0, 620.0, -0.0006, 100.13
RO-05P0, 621.0, -0.0005, 100.13
RO-05P0, 622.0, -0.0006, 100.14
RO-05P0, 623.0, -0.0006, 100.13
RO-05P0, 624.0, -0.0006, 100.13
RO-05P0, 625.0, -0.0006, 100.14
RO-05P0, 626.0, -0.0006, 100.15
RO-05P0, 627.0, -0.0006, 100.13
RO-05P0, 628.0, -0.0006, 100.15
RO-05P0, 629.0, -0.0006, 100.14
RO-05P0, 630.0, -0.0007, 100.15
RO-05P0, 631.0, -0.0006, 100.14
RO-05P0, 632.0, -0.0007, 100.15
RO-05P0, 633.0, -0.0007, 100.15
RO-05P0, 634.0, -0.0006, 100.15
RO-05P0, 635.0, -0.0007, 100.15
RO-05P0, 636.0, -0.0007, 100.16
RO-05P0, 637.0, -0.0006, 100.14
RO-05P0, 638.0, -0.0007, 100.15
RO-05P0, 639.0, -0.0007, 100.15
RO-05P0, 640.0, -0.0007, 100.16
RO-05P0, 641.0, -0.0006, 100.14
RO-05P0, 642.0, -0.0007, 100.16
RO-05P0, 643.0, -0.0007, 100.15
RO-05P0, 644.0, -0.0006, 100.14
RO-05P0, 645.0, -0.0006, 100.13
RO-05P0, 646.0, -0.0006, 100.13
RO-05P0, 647.0, -0.0006, 100.13
RO-05P0, 648.0, -0.0007, 100.16
RO-05P0, 649.0, -0.0007, 100.15
RO-05P0, 650.0, -0.0007, 100.16
RO-05P0, 651.0, -0.0007, 100.15
RO-05P0, 652.0, -0.0006, 100.14
RO-05P0, 653.0, -0.0006, 100.14
RO-05P0, 654.0, -0.0006, 100.15
RO-05P0, 655.0, -0.0006, 100.14
RO-05P0, 656.0, -0.0007, 100.15
RO-05P0, 657.0, -0.0007, 100.15
RO-05P0, 658.0, -0.0007, 100.16
RO-05P0, 659.0, -0.0007, 100.15
RO-05P0, 660.0, -0.0007, 100.17
RO-05P0, 661.0, -0.0007, 100.16
RO-05P0, 662.0, -0.0007, 100.17
RO-05P0, 663.0, -0.0007, 100.17
RO-05P0, 664.0, -0.0007, 100.17
RO-05P0, 665.0, -0.0007, 100.16
RO-05P0, 666.0, -0.0007, 100.17
RO-05P0, 667.0, -0.0007, 100.15
RO-05P0, 668.0, -0.0006, 100.15
RO-05P0, 669.0, -0.0007, 100.15
RO-05P0, 670.0, -0.0006, 100.14
RO-05P0, 671.0, -0.0007, 100.16
RO-05P0, 672.0, -0.0006, 100.15
RO-05P0, 673.0, -0.0007, 100.15
RO-05P0, 674.0, -0.0007, 100.16
RO-05P0, 675.0, -0.0007, 100.16
RO-05P0, 676.0, -0.0008, 100.17
RO-05P0, 677.0, -0.0007, 100.17
RO-05P0, 678.0, -0.0007, 100.17
RO-05P0, 679.0, -0.0007, 100.17
RO-05P0, 680.0, -0.0007, 100.17
