Sample Name, BP-10P0,
Time, 2017/07/12 02:33:43,
Operator, Smith,
Lamp,255,
Slit,0,
Scan From, 850.0nm,
Scan To, 390.0nm,
Scan Step, 1.0nm,
Sample Filter,11,
memo, ,
WL(nm), Abs, T%
731,0.0044,99.54
732,0.0043,99.56
733,0.0044,99.55
734,0.0042,99.58
735,0.0043,99.56
736,0.0043,99.56
737,0.0042,99.59
738,0.0042,99.59
739,0.0041,99.61
740,0.0041,99.62
741,0.0041,99.62
742,0.004,99.63
743,0.0039,99.63
744,0.0038,99.65
745,0.0039,99.67
746,0.0038,99.66
747,0.0038,99.68
748,0.0038,99.67
749,0.0037,99.7
750,0.0037,99.71
751,0.0036,99.72
752,0.0036,99.72
753,0.0036,99.74
754,0.0034,99.74
755,0.0035,99.76
756,0.0034,99.75
757,0.0034,99.74
758,0.0034,99.75
759,0.0034,99.76
760,0.0033,99.77
761,0.0033,99.8
762,0.0033,99.78
763,0.0032,99.8
764,0.0031,99.79
765,0.0031,99.81
766,0.0031,99.8
767,0.0031,99.82
768,0.003,99.82
769,0.003,99.84
770,0.003,99.85
771,0.003,99.85
772,0.003,99.85
773,0.0029,99.87
774,0.0029,99.86
775,0.0029,99.86
776,0.0029,99.86
777,0.0028,99.87
778,0.0028,99.88
779,0.0028,99.89
780,0.0027,99.9
781,0.0028,99.91
782,0.0028,99.9
783,0.0027,99.92
784,0.0028,99.92
785,0.0027,99.94
786,0.0026,99.94
787,0.0027,99.94
788,0.0026,99.96
789,0.0025,99.96
790,0.0024,99.97
791,0.0025,99.97
792,0.0026,99.97
793,0.0025,99.97
794,0.0025,99.99
795,0.0024,100
796,0.0023,100.01
797,0.0024,100
798,0.0024,100
799,0.0024,100.01
800,0.0024,100.01
801,0.0024,100.02
802,0.0024,100.02
803,0.0023,100.04
804,0.0022,100.04
805,0.0022,100.05
806,0.0021,100.06
807,0.0021,100.06
808,0.0021,100.05
809,0.0022,100.06
810,0.0021,100.07
811,0.002,100.09
812,0.0021,100.07
813,0.002,100.1
814,0.002,100.1
815,0.002,100.1
816,0.002,100.1
817,0.0019,100.11
818,0.002,100.12
819,0.0019,100.14
820,0.0019,100.12
821,0.0018,100.14
822,0.0017,100.15
823,0.0018,100.15
824,0.0018,100.15
825,0.0017,100.17
826,0.0019,100.17
827,0.0017,100.2
828,0.0016,100.21
829,0.0017,100.18
830,0.0016,100.21
831,0.0017,100.18
832,0.0016,100.21
833,0.0016,100.19
834,0.0015,100.2
835,0.0015,100.21
836,0.0015,100.22
837,0.0015,100.24
838,0.0014,100.23
839,0.0015,100.21
840,0.0014,100.22
841,0.0015,100.22
842,0.0014,100.23
843,0.0015,100.24
844,0.0015,100.23
845,0.0015,100.24
846,0.0014,100.24
847,0.0013,100.25
848,0.0014,100.25
849,0.0014,100.23
850,0.0014,100.23
