Sample Name, TP-05P0
Time, 2017/07/12 03:11:08
Operator, Smith
Lamp, 255
Slit,0.0
Scan From, 850.0nm
Scan To, 390.0nm
Scan Step, 1.0nm
Sample Filter, 11
memo, 
WL(nm), Abs, T%
692.0, -0.0001, 100.02
693.0, -0.0000, 100.01
694.0, -0.0000, 100.01
695.0, 0.0000, 100.00
696.0, -0.0000, 100.01
697.0, -0.0000, 100.01
698.0, -0.0000, 100.01
699.0, -0.0000, 100.01
700.0, -0.0000, 100.01
701.0, -0.0000, 100.01
702.0, -0.0000, 100.01
703.0, 0.0000, 99.99
704.0, 0.0000, 99.99
705.0, 0.0001, 99.98
706.0, 0.0001, 99.99
707.0, 0.0001, 99.99
708.0, 0.0000, 100.00
709.0, -0.0000, 100.00
710.0, 0.0000, 99.99
711.0, 0.0000, 99.99
712.0, 0.0000, 99.99
713.0, 0.0001, 99.99
714.0, -0.0000, 100.01
715.0, 0.0000, 100.00
716.0, -0.0001, 100.01
717.0, -0.0000, 100.01
718.0, -0.0001, 100.01
719.0, 0.0000, 100.00
720.0, 0.0001, 99.98
721.0, 0.0001, 99.98
722.0, 0.0000, 99.99
723.0, 0.0001, 99.98
724.0, 0.0001, 99.98
725.0, 0.0000, 99.99
726.0, 0.0001, 99.98
727.0, 0.0001, 99.98
728.0, 0.0000, 100.00
729.0, 0.0001, 99.99
730.0, 0.0001, 99.98
731.0, 0.0001, 99.98
732.0, 0.0001, 99.99
733.0, 0.0000, 99.99
734.0, 0.0001, 99.97
735.0, 0.0001, 99.98
736.0, 0.0001, 99.98
737.0, 0.0001, 99.98
738.0, 0.0002, 99.96
739.0, 0.0001, 99.97
740.0, 0.0001, 99.98
741.0, 0.0001, 99.98
742.0, 0.0001, 99.98
743.0, 0.0001, 99.97
744.0, 0.0001, 99.97
745.0, 0.0001, 99.98
746.0, 0.0001, 99.99
747.0, 0.0001, 99.98
748.0, 0.0000, 99.99
749.0, 0.0001, 99.99
750.0, 0.0001, 99.99
751.0, 0.0000, 99.99
752.0, 0.0000, 100.00
753.0, 0.0000, 100.00
754.0, 0.0000, 100.00
755.0, 0.0000, 99.99
756.0, 0.0000, 99.99
757.0, 0.0001, 99.99
758.0, 0.0000, 99.99
759.0, 0.0000, 100.00
760.0, 0.0000, 100.00
761.0, 0.0000, 100.00
762.0, 0.0000, 100.00
763.0, 0.0000, 99.99
764.0, 0.0000, 100.00
765.0, -0.0000, 100.00
766.0, -0.0000, 100.00
767.0, -0.0000, 100.01
768.0, -0.0001, 100.02
769.0, -0.0000, 100.00
770.0, -0.0001, 100.02
771.0, -0.0000, 100.00
772.0, -0.0000, 100.01
773.0, -0.0001, 100.01
774.0, 0.0000, 100.00
775.0, -0.0001, 100.02
776.0, -0.0001, 100.03
777.0, -0.0001, 100.02
778.0, -0.0001, 100.02
779.0, -0.0001, 100.02
780.0, -0.0001, 100.03
781.0, -0.0001, 100.02
782.0, -0.0001, 100.02
783.0, -0.0001, 100.02
784.0, -0.0001, 100.02
785.0, -0.0002, 100.04
786.0, -0.0001, 100.03
787.0, -0.0002, 100.04
788.0, -0.0001, 100.03
789.0, -0.0002, 100.04
790.0, -0.0002, 100.05
791.0, -0.0001, 100.03
792.0, -0.0001, 100.03
793.0, -0.0001, 100.03
794.0, -0.0001, 100.03
795.0, -0.0001, 100.02
796.0, -0.0000, 100.01
797.0, -0.0001, 100.02
798.0, -0.0001, 100.02
799.0, -0.0001, 100.03
800.0, -0.0001, 100.03
801.0, -0.0002, 100.05
802.0, -0.0002, 100.04
803.0, -0.0001, 100.03
804.0, -0.0002, 100.04
805.0, -0.0002, 100.05
806.0, -0.0002, 100.04
807.0, -0.0002, 100.04
808.0, -0.0002, 100.04
809.0, -0.0002, 100.05
810.0, -0.0002, 100.04
811.0, -0.0002, 100.05
812.0, -0.0002, 100.04
813.0, -0.0002, 100.05
814.0, -0.0002, 100.05
815.0, -0.0003, 100.07
816.0, -0.0002, 100.04
817.0, -0.0001, 100.02
818.0, -0.0001, 100.03
819.0, -0.0001, 100.03
820.0, -0.0002, 100.04
821.0, -0.0001, 100.03
822.0, -0.0001, 100.03
823.0, -0.0002, 100.03
824.0, -0.0002, 100.04
825.0, -0.0002, 100.04
826.0, -0.0002, 100.04
827.0, -0.0002, 100.05
828.0, -0.0002, 100.04
829.0, -0.0002, 100.04
830.0, -0.0001, 100.03
831.0, -0.0002, 100.04
832.0, -0.0001, 100.01
833.0, -0.0001, 100.02
834.0, -0.0001, 100.02
835.0, -0.0002, 100.04
836.0, -0.0001, 100.03
837.0, -0.0001, 100.03
838.0, -0.0001, 100.03
839.0, -0.0001, 100.02
840.0, -0.0001, 100.03
841.0, -0.0001, 100.03
842.0, -0.0001, 100.03
843.0, -0.0000, 100.01
844.0, -0.0000, 100.01
845.0, -0.0001, 100.02
846.0, -0.0002, 100.03
847.0, -0.0001, 100.02
848.0, -0.0002, 100.04
849.0, -0.0002, 100.04
850.0, -0.0003, 100.08
