Sample Name, RO-10P0,
Time, 2017/07/12 02:06:01,
Operator, Smith,
Lamp,255,
Slit,0,
Scan From, 850.0nm,
Scan To, 390.0nm,
Scan Step, 1.0nm,
Sample Filter,11,
memo, ,
WL(nm), Abs, T%
824,0.0053,100.39
825,0.0053,100.4
826,0.0055,100.4
827,0.0055,100.4
828,0.0053,100.43
829,0.0053,100.41
830,0.0053,100.41
831,0.0053,100.41
832,0.0053,100.41
833,0.0051,100.41
834,0.0051,100.4
835,0.0051,100.42
836,0.0051,100.42
837,0.0053,100.43
838,0.0051,100.43
839,0.0051,100.43
840,0.0051,100.43
841,0.0051,100.42
842,0.0051,100.42
843,0.0053,100.41
844,0.0053,100.41
845,0.0053,100.42
846,0.0053,100.41
847,0.0051,100.4
848,0.0053,100.42
849,0.0051,100.4
850,0.0051,100.42
