SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG380,SIG440,SIG500,SIG675,SIG870,STD380,STD440,STD500,STD675,STD870,R380_440,R440_500,R500_675,R675_870,AOT380,AOT440,AOT500,AOT675,AOT870,WATER
4079,7/17/17,19:11:40,43.933,-69.583,0,1022,38.04,1.269,1.032,26.4,0,733.16,330.05,566.81,780.78,698.8,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2213,0.5823,0.726,1.1173,0.413,0.346,0.27,0.157,0.082,Na  
4079,7/17/17,19:11:52,43.933,-69.583,0,1022,38.07,1.269,1.032,26.4,0,732.63,333.43,566.73,781.65,700.62,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1973,0.5883,0.725,1.1157,0.413,0.338,0.269,0.156,0.08,Na  
4079,7/17/17,19:12:02,43.933,-69.583,0,1022,38.1,1.27,1.032,26.3,0,727.27,319.2,560.73,777.26,700.02,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2785,0.5692,0.7214,1.1103,0.418,0.372,0.278,0.161,0.08,Na  
4079,7/17/17,19:12:11,43.933,-69.583,0,1022,38.12,1.27,1.032,26.3,0,735.92,327.62,569.3,765.91,670.36,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2462,0.5755,0.7433,1.1425,0.409,0.351,0.266,0.172,0.114,Na  
4079,7/17/17,19:12:35,43.933,-69.583,0,1022,38.19,1.271,1.032,26.2,0,736.69,335.67,569,780.27,702.29,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1947,0.5899,0.7292,1.111,0.407,0.332,0.266,0.157,0.078,Na  
4079,7/17/17,19:18:29,43.933,-69.583,0,1023,39.16,1.289,1.032,25.3,0,735.48,338.17,570.6,785.68,702.58,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1749,0.5927,0.7262,1.1183,0.396,0.318,0.258,0.149,0.076,Na  
4079,7/17/17,19:18:38,43.933,-69.583,0,1023,39.18,1.289,1.032,25.3,0,735.64,344.81,568.71,777.26,692.56,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1335,0.6063,0.7317,1.1223,0.396,0.303,0.26,0.158,0.087,Na  
4079,7/17/17,19:18:47,43.933,-69.583,0,1023,39.21,1.289,1.032,25.4,0,732.95,345.23,569.92,783.94,702.37,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1231,0.6058,0.727,1.1161,0.398,0.301,0.258,0.151,0.076,Na  
4079,7/17/17,19:18:55,43.933,-69.583,0,1024,39.23,1.29,1.032,25.4,0,726.72,342.32,569.62,779.08,689.68,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1229,0.601,0.7311,1.1296,0.404,0.308,0.259,0.156,0.09,Na  
4079,7/17/17,19:19:06,43.933,-69.583,0,1024,39.26,1.29,1.032,25.5,0,734.93,331.33,569.68,785.72,703.52,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.2181,0.5816,0.725,1.1168,0.395,0.333,0.258,0.149,0.075,Na  
4079,7/17/17,19:19:47,43.933,-69.583,0,1023,39.38,1.293,1.032,25.5,0,734.16,344.5,568.04,763.82,683.7,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1311,0.6065,0.7437,1.1172,0.395,0.302,0.26,0.171,0.097,Na  
4079,7/17/17,19:20:04,43.933,-69.583,0,1023,39.42,1.293,1.032,25.6,0,725.98,313.65,561.66,786.15,703.79,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.3146,0.5584,0.7144,1.117,0.403,0.374,0.269,0.148,0.074,Na  
4079,7/17/17,19:20:13,43.933,-69.583,0,1023,39.45,1.294,1.032,25.6,0,735.75,334.28,570.32,787.37,704.58,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.201,0.5861,0.7243,1.1175,0.393,0.325,0.257,0.147,0.074,Na  
4079,7/17/17,19:20:22,43.933,-69.583,0,1022,39.47,1.294,1.032,25.6,0,735.83,337.45,569.96,785.7,704.17,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,2.1806,0.5921,0.7254,1.1158,0.393,0.317,0.257,0.148,0.074,Na  
